,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes,use_double_q_learning
0,0,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
1,1,0,"[0.0, 1.0]",80,0.07469876462220919,0.9751576803197001,5.975901169776735,78.012614425576,0,0.9,1000,False,True,"[128, 128]",False
2,2,0,"[0.0, 1.0]",80,0.09063256904516079,0.9986322356556686,7.2506055236128635,79.89057885245349,0,0.9,1000,False,True,"[128, 128]",False
3,3,0,"[0.0, 1.0]",80,0.0845738187562833,0.9925716295950625,6.765905500502663,79.405730367605,0,0.9,1000,False,True,"[128, 128]",False
4,4,0,"[0.0, 1.0]",80,0.09397866279136163,0.9944758621378821,7.518293023308931,79.55806897103056,0,0.9,1000,False,True,"[128, 128]",False
5,5,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
6,6,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]",False
7,7,0,"[0.0, 1.0]",80,0.05916846159190627,0.9596273772893966,4.733476927352502,76.77019018315173,0,0.9,1000,False,True,"[128, 128]",False
8,8,0,"[0.0, 1.0]",80,0.04669503087749559,0.9546928417162738,3.7356024701996473,76.3754273373019,0,0.9,1000,False,True,"[128, 128]",False
9,9,0,"[0.0, 1.0]",80,0.08002836421082879,0.9880261750496079,6.402269136866303,79.04209400396863,0,0.9,1000,False,True,"[128, 128]",False
10,10,0,"[0.0, 1.0]",80,0.08608871114204796,0.9940867811102139,6.887096891363837,79.52694248881711,0,0.9,1000,False,True,"[128, 128]",False
11,11,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
12,12,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
13,13,0,"[0.0, 1.0]",80,0.08874048534503491,0.9967382962617292,7.099238827602793,79.73906370093833,0,0.9,1000,False,True,"[128, 128]",False
14,14,0,"[0.0, 1.0]",80,0.08756442971009196,0.9880364681984879,7.005154376807356,79.04291745587904,0,0.9,1000,False,True,"[128, 128]",False
15,15,0,"[0.0, 1.0]",80,0.06524251419333318,0.9732534477768804,5.219401135466654,77.86027582215043,0,0.9,1000,False,True,"[128, 128]",False
16,16,0,"[0.0, 1.0]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,1000,False,True,"[128, 128]",False
17,17,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
18,18,0,"[0.0, 1.0]",80,0.08608896967966798,0.9940867811102139,6.887117574373438,79.52694248881711,0,0.9,1000,False,True,"[128, 128]",False
19,19,0,"[0.0, 1.0]",80,0.04669503087749559,0.9546928417162738,3.7356024701996473,76.3754273373019,0,0.9,1000,False,True,"[128, 128]",False
20,0,1,"[0.034228662608036774, 0.9657713373919633]",80,0.060697059647878714,0.9687079932314256,4.855764771830297,77.49663945851405,0,0.9,1000,False,True,"[128, 128]",False
21,1,1,"[0.034228662608036774, 0.9657713373919633]",80,0.03836169754416225,0.946359508382941,3.06893580353298,75.70876067063529,0,0.9,1000,False,True,"[128, 128]",False
22,2,1,"[0.034228662608036774, 0.9657713373919633]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
23,3,1,"[0.034228662608036774, 0.9657713373919633]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
24,4,1,"[0.034228662608036774, 0.9657713373919633]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
25,5,1,"[0.034228662608036774, 0.9657713373919633]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
26,6,1,"[0.034228662608036774, 0.9657713373919633]",80,0.09401498246987487,0.9944758621378821,7.52119859758999,79.55806897103056,0,0.9,1000,False,True,"[128, 128]",False
