,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes,use_double_q_learning
0,0,0,"[0.0, 1.0]",80,0.08798265053626818,0.9959807205041533,7.0386120429014545,79.67845764033227,0,0.9,1000,False,True,"[128, 128]",False
1,1,0,"[0.0, 1.0]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
2,2,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
3,3,0,"[0.0, 1.0]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
4,4,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
5,5,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
6,6,0,"[0.0, 1.0]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
7,7,0,"[0.0, 1.0]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,1000,False,True,"[128, 128]",False
8,8,0,"[0.0, 1.0]",80,0.07586169754416214,0.9838595083829411,6.068935803532971,78.70876067063529,0,0.9,1000,False,True,"[128, 128]",False
9,9,0,"[0.0, 1.0]",80,0.08571018239264692,0.9937079932314262,6.856814591411754,79.4966394585141,0,0.9,1000,False,True,"[128, 128]",False
10,10,0,"[0.0, 1.0]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
11,11,0,"[0.0, 1.0]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
12,12,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
13,13,0,"[0.0, 1.0]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
14,14,0,"[0.0, 1.0]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
15,15,0,"[0.0, 1.0]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
16,16,0,"[0.0, 1.0]",80,0.09025538172548343,0.9982534477768807,7.220430538038674,79.86027582215046,0,0.9,1000,False,True,"[128, 128]",False
17,17,0,"[0.0, 1.0]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
18,18,0,"[0.0, 1.0]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,1000,False,True,"[128, 128]",False
19,19,0,"[0.0, 1.0]",80,0.053134424816889514,0.9611322356556681,4.250753985351161,76.89057885245344,0,0.9,1000,False,True,"[128, 128]",False
20,0,1,"[0.03442332903227728, 0.9655766709677228]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,1000,False,True,"[128, 128]",False
21,1,1,"[0.03442332903227728, 0.9655766709677228]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
22,2,1,"[0.03442332903227728, 0.9655766709677228]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
23,3,1,"[0.03442332903227728, 0.9655766709677228]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
24,4,1,"[0.03442332903227728, 0.9655766709677228]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
25,5,1,"[0.03442332903227728, 0.9655766709677228]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
26,6,1,"[0.03442332903227728, 0.9655766709677228]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
27,7,1,"[0.03442332903227728, 0.9655766709677228]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
28,8,1,"[0.03442332903227728, 0.9655766709677228]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
29,9,1,"[0.03442332903227728, 0.9655766709677228]",80,0.04517987936234408,0.9531776902011224,3.614390348987526,76.25421521608979,0,0.9,1000,False,True,"[128, 128]",False
30,10,1,"[0.03442332903227728, 0.9655766709677228]",80,0.028891996088689254,0.9368898114132431,2.3113596870951403,74.95118491305945,0,0.9,1000,False,True,"[128, 128]",False
31,11,1,"[0.03442332903227728, 0.9655766709677228]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,1000,False,True,"[128, 128]",False
