,repetition_number,weight_index,weight_tuple,num_iterations,vehicle_id,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
0,0,0,"[0.0, 1.0]",24,0,0.2410680591870786,0.8925554861667534,5.785633420489886,21.421331668002082
1,0,0,"[0.0, 1.0]",24,1,0.27131186615703873,0.8913981177578333,6.5114847877689295,21.393554826187998
2,1,0,"[0.0, 1.0]",80,0,0.30996497344031726,0.8788706815868345,24.79719787522538,70.30965452694676
3,1,0,"[0.0, 1.0]",80,1,0.41398873132544933,0.8354948333169716,33.11909850603595,66.83958666535773
4,2,0,"[0.0, 1.0]",80,0,0.24412096238765205,0.897591437267168,19.529676991012163,71.80731498137344
5,2,0,"[0.0, 1.0]",80,1,0.22818012739207064,0.9003886226359328,18.25441019136565,72.03108981087462
6,3,0,"[0.0, 1.0]",80,0,0.3044169495491637,0.8725709652229403,24.353355963933097,69.80567721783522
7,3,0,"[0.0, 1.0]",80,1,0.3592956111341105,0.8459574527351403,28.743648890728842,67.67659621881123
8,4,0,"[0.0, 1.0]",48,0,0.24368149293454922,0.8788698803972333,11.696711660858362,42.1857542590672
9,4,0,"[0.0, 1.0]",48,1,0.29400901632880605,0.8735382878776674,14.11243278378269,41.929837818128036
10,5,0,"[0.0, 1.0]",20,0,0.18666185332423785,0.8222432492107503,3.7332370664847567,16.444864984215005
11,5,0,"[0.0, 1.0]",20,1,0.1811422015705158,0.5902485685780345,3.6228440314103163,11.804971371560692
12,6,0,"[0.0, 1.0]",8,0,0.1657128429390114,0.8609465263866845,1.3257027435120912,6.887572211093476
13,6,0,"[0.0, 1.0]",8,1,0.23470467529553954,0.8950114789792246,1.8776374023643163,7.160091831833797
14,7,0,"[0.0, 1.0]",45,0,0.19721956915682679,0.6875900098324468,8.874880612057206,30.941550442460105
15,7,0,"[0.0, 1.0]",45,1,0.2092832108050017,0.6547257526232921,9.417744486225077,29.46265886804815
16,8,0,"[0.0, 1.0]",80,0,0.29512492651617916,0.8808277981464855,23.60999412129433,70.46622385171884
