,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
0,0,0,"[0.0, 1.0]",12,0.8780466608126406,0.49254686943502274,10.536559929751688,5.910562433220273
1,1,0,"[0.0, 1.0]",3,0.6265881311130367,0.26423747670576003,1.87976439333911,0.7927124301172801
2,2,0,"[0.0, 1.0]",2,0.4527728786988046,0.1284784480573964,0.9055457573976092,0.2569568961147928
3,3,0,"[0.0, 1.0]",3,0.6112652741723513,0.24836446083274413,1.8337958225170539,0.7450933824982324
4,4,0,"[0.0, 1.0]",7,0.8123234183296135,0.43147083202949904,5.686263928307294,3.0202958242064932
5,5,0,"[0.0, 1.0]",2,0.4686458945718205,0.14435146393041226,0.937291789143641,0.2887029278608245
6,6,0,"[0.0, 1.0]",2,0.4527728786988046,0.1284784480573964,0.9055457573976092,0.2569568961147928
7,7,0,"[0.0, 1.0]",7,0.8123234183296135,0.43147083202949904,5.686263928307294,3.0202958242064932
8,8,0,"[0.0, 1.0]",3,0.6371701416950472,0.27481948728777056,1.9115104250851416,0.8244584618633117
9,9,0,"[0.0, 1.0]",4,0.696272329645868,0.32419216713125276,2.785089318583472,1.296768668525011
10,10,0,"[0.0, 1.0]",4,0.7117250647746056,0.3400651830042686,2.8469002590984225,1.3602607320170743
11,11,0,"[0.0, 1.0]",7,0.8060096614382568,0.42466811094106366,5.642067630067798,2.972676776587446
12,12,0,"[0.0, 1.0]",13,0.8735656129022568,0.4866701154966026,11.356352967729338,6.326711501455834
13,13,0,"[0.0, 1.0]",3,0.6160061205310261,0.2536554661237494,1.8480183615930783,0.7609663983712482
14,14,0,"[0.0, 1.0]",3,0.6112652741723513,0.24836446083274413,1.8337958225170539,0.7450933824982324
15,15,0,"[0.0, 1.0]",3,0.6112652741723513,0.24836446083274413,1.8337958225170539,0.7450933824982324
16,16,0,"[0.0, 1.0]",6,0.7839852205239813,0.4049267240066013,4.703911323143888,2.429560344039608
17,17,0,"[0.0, 1.0]",3,0.6371701416950473,0.27481948728777056,1.9115104250851418,0.8244584618633117
18,18,0,"[0.0, 1.0]",6,0.7839794229233371,0.4049267240066013,4.703876537540022,2.429560344039608
19,19,0,"[0.0, 1.0]",3,0.6160061205310261,0.2536554661237494,1.8480183615930783,0.7609663983712482
20,0,1,"[0.015224264975541996, 0.984775735024458]",3,0.6371701416950473,0.27481948728777056,1.9115104250851418,0.8244584618633117
21,1,1,"[0.015224264975541996, 0.984775735024458]",3,0.6160061205310261,0.2536554661237494,1.8480183615930783,0.7609663983712482
22,2,1,"[0.015224264975541996, 0.984775735024458]",8,0.8371400392622352,0.45534898642898014,6.697120314097882,3.642791891431841
