,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
0,0,0,"[0.0, 1.0]",80,0.052077556249347026,0.9954032841444478,4.166204499947762,79.63226273155583
1,1,0,"[0.0, 1.0]",80,0.04787303332324083,0.9991623421154623,3.8298426658592666,79.93298736923698
2,2,0,"[0.0, 1.0]",80,0.04852177837959851,0.9997575802107004,3.8817422703678806,79.98060641685603
3,3,0,"[0.0, 1.0]",80,0.04828346912986088,0.9995591675122878,3.8626775303888703,79.96473340098302
4,4,0,"[0.0, 1.0]",80,0.045545587903408014,0.9888556650968289,3.643647032272641,79.10845320774631
5,5,0,"[0.0, 1.0]",80,0.04787303332324083,0.9991623421154623,3.8298426658592666,79.93298736923698
6,6,0,"[0.0, 1.0]",80,0.04852177837959851,0.9997575802107004,3.8817422703678806,79.98060641685603
7,7,0,"[0.0, 1.0]",80,0.04727600445175918,0.9985671040202242,3.782080356140735,79.88536832161793
8,8,0,"[0.0, 1.0]",80,0.05340054970845563,0.9967921730333368,4.272043976676451,79.74337384266694
9,9,0,"[0.0, 1.0]",80,0.05340054970845563,0.9967921730333368,4.272043976676451,79.74337384266694
10,10,0,"[0.0, 1.0]",80,0.05340054970845563,0.9967921730333368,4.272043976676451,79.74337384266694
11,11,0,"[0.0, 1.0]",80,0.05400939746493807,0.9973874111285748,4.3207517971950455,79.79099289028598
12,12,0,"[0.0, 1.0]",80,0.04038685774467786,0.9916226595757799,3.2309486195742285,79.32981276606239
13,13,0,"[0.0, 1.0]",80,0.04787303332324083,0.9991623421154623,3.8298426658592666,79.93298736923698
14,14,0,"[0.0, 1.0]",80,0.04828346912986088,0.9995591675122878,3.8626775303888703,79.96473340098302
15,15,0,"[0.0, 1.0]",80,0.04828346912986088,0.9995591675122878,3.8626775303888703,79.96473340098302
16,16,0,"[0.0, 1.0]",80,0.04828346912986088,0.9995591675122878,3.8626775303888703,79.96473340098302
17,17,0,"[0.0, 1.0]",80,0.05400939746493807,0.9973874111285748,4.3207517971950455,79.79099289028598
18,18,0,"[0.0, 1.0]",80,0.04828346912986088,0.9995591675122878,3.8626775303888703,79.96473340098302
19,19,0,"[0.0, 1.0]",80,0.05400939746493807,0.9973874111285748,4.3207517971950455,79.79099289028598
20,0,1,"[0.015235192887122564, 0.9847648071128774]",80,0.05340054970845563,0.9967921730333368,4.272043976676451,79.74337384266694
21,1,1,"[0.015235192887122564, 0.9847648071128774]",80,0.05340054970845563,0.9967921730333368,4.272043976676451,79.74337384266694
22,2,1,"[0.015235192887122564, 0.9847648071128774]",80,0.05400939746493807,0.9973874111285748,4.3207517971950455,79.79099289028598
23,3,1,"[0.015235192887122564, 0.9847648071128774]",80,0.05186692402103923,0.9952048714460352,4.149353921683138,79.61638971568281
24,4,1,"[0.015235192887122564, 0.9847648071128774]",80,0.04811120534539674,0.999360754813875,3.8488964276317392,79.94886038511
25,5,1,"[0.015235192887122564, 0.9847648071128774]",80,0.04828346912986088,0.9995591675122878,3.8626775303888703,79.96473340098302
26,6,1,"[0.015235192887122564, 0.9847648071128774]",80,0.04852177837959851,0.9997575802107004,3.8817422703678806,79.98060641685603
