,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
0,0,0,"[0.0, 1.0]",3,0.6324292953363725,0.2695284819967653,1.8972878860091174,0.8085854459902959
1,1,0,"[0.0, 1.0]",10,0.8642067254301745,0.4792550016564922,8.642067254301745,4.792550016564922
2,2,0,"[0.0, 1.0]",17,0.8921103986618343,0.5036903733037104,15.165876777251183,8.562736346163076
3,3,0,"[0.0, 1.0]",3,0.6430113059183831,0.2801104925787759,1.9290339177551492,0.8403314777363277
4,4,0,"[0.0, 1.0]",2,0.4607093866353125,0.13641495599390432,0.921418773270625,0.27282991198780865
5,5,0,"[0.0, 1.0]",2,0.44483637076229665,0.12054194012088845,0.8896727415245933,0.2410838802417769
6,6,0,"[0.0, 1.0]",3,0.6265881311130367,0.26423747670576003,1.87976439333911,0.7927124301172801
7,7,0,"[0.0, 1.0]",3,0.6265881311130367,0.26423747670576003,1.87976439333911,0.7927124301172801
8,8,0,"[0.0, 1.0]",2,0.4686458945718205,0.14435146393041226,0.937291789143641,0.2887029278608245
9,9,0,"[0.0, 1.0]",5,0.7661767283931048,0.39000930042190635,3.830883641965524,1.9500465021095317
10,10,0,"[0.0, 1.0]",3,0.6324292953363725,0.2695284819967653,1.8972878860091174,0.8085854459902959
11,11,0,"[0.0, 1.0]",5,0.7693506126855947,0.3931839035965095,3.8467530634279736,1.9659195179825475
12,12,0,"[0.0, 1.0]",4,0.7156933187428595,0.3440334369725226,2.862773274971438,1.3761337478900904
13,13,0,"[0.0, 1.0]",9,0.8526459213021073,0.4686300919769224,7.673813291718965,4.217670827792301
14,14,0,"[0.0, 1.0]",7,0.8196151036151276,0.43827355311793437,5.737305725305893,3.0679148718255407
15,15,0,"[0.0, 1.0]",2,0.4686458945718205,0.14435146393041226,0.937291789143641,0.2887029278608245
16,16,0,"[0.0, 1.0]",6,0.7948423734050868,0.41550873458861187,4.7690542404305205,2.493052407531671
