,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes
0,0,0,"[0.0, 1.0]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,1,0.9,1000,False,True,"[128, 128, 128]"
1,1,0,"[0.0, 1.0]",80,0.09100008995090889,0.9990110235344565,7.28000719607271,79.92088188275652,1,0.9,1000,False,True,"[128, 128, 128]"
2,2,0,"[0.0, 1.0]",80,0.06790715208961665,0.9759049629283952,5.432572167169332,78.07239703427162,1,0.9,1000,False,True,"[128, 128, 128]"
3,3,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,1,0.9,1000,False,True,"[128, 128, 128]"
4,4,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,1,0.9,1000,False,True,"[128, 128, 128]"
5,5,0,"[0.0, 1.0]",80,0.0845338793520466,0.9925716295950624,6.762710348163728,79.40573036760499,1,0.9,1000,False,True,"[128, 128, 128]"
6,6,0,"[0.0, 1.0]",80,0.09320810047928323,0.9937182863803062,7.456648038342658,79.4974629104245,1,0.9,1000,False,True,"[128, 128, 128]"
7,7,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,1,0.9,1000,False,True,"[128, 128, 128]"
8,8,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,1,0.9,1000,False,True,"[128, 128, 128]"
9,9,0,"[0.0, 1.0]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,1,0.9,1000,False,True,"[128, 128, 128]"
10,10,0,"[0.0, 1.0]",80,0.1087897064698848,0.9941176605568544,8.703176517590784,79.52941284454835,1,0.9,1000,False,True,"[128, 128, 128]"
11,11,0,"[0.0, 1.0]",80,0.0894452769766791,0.9974958720193049,7.155622158134328,79.7996697615444,1,0.9,1000,False,True,"[128, 128, 128]"
12,12,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,1,0.9,1000,False,True,"[128, 128, 128]"
13,13,0,"[0.0, 1.0]",80,0.09359987880673855,0.9940970742590942,7.487990304539084,79.52776594072753,1,0.9,1000,False,True,"[128, 128, 128]"
14,14,0,"[0.0, 1.0]",80,0.0954808277520105,0.9959910136530337,7.63846622016084,79.67928109224269,1,0.9,1000,False,True,"[128, 128, 128]"
15,15,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,1,0.9,1000,False,True,"[128, 128, 128]"
16,16,0,"[0.0, 1.0]",80,0.10313442481688931,0.9960013068019137,8.250753985351144,79.6801045441531,1,0.9,1000,False,True,"[128, 128, 128]"
